"","MeanDecreaseAccuracy","MeanDecreaseGini"
"roll_belt",51.7473476358243,771.927929617856
"pitch_belt",47.4835618398651,401.860498646512
"yaw_belt",60.1507159032008,524.84912501239
"total_accel_belt",16.7580812601725,119.389753440008
"gyros_belt_x",23.2609197034942,59.7452063301087
"gyros_belt_y",21.2063618603697,66.3713448888194
"gyros_belt_z",30.2150337703367,181.823573419896
"accel_belt_x",22.5178846537942,66.7046410203566
"accel_belt_y",16.7533878677611,73.8250975578042
"accel_belt_z",25.0180987526872,252.483098099453
"magnet_belt_x",33.7663110954687,151.278549397516
"magnet_belt_y",28.9707795645601,232.949761430471
"magnet_belt_z",29.896461737102,240.818015334469
"roll_arm",33.662178876429,192.593865195993
"pitch_arm",23.9197516800532,103.679477899784
"yaw_arm",29.8944987908068,144.290404610484
"total_accel_arm",24.0304326576054,63.0196735748856
"gyros_arm_x",25.0050259909451,77.4628871725316
"gyros_arm_y",34.0298365175395,81.822246847357
"gyros_arm_z",22.9525501638924,35.7229170347845
"accel_arm_x",17.0158079808169,129.788500909799
"accel_arm_y",25.4364430319123,95.4900770873935
"accel_arm_z",22.2785879815206,79.8516054988534
"magnet_arm_x",19.3224595428187,158.162324794884
"magnet_arm_y",17.5431304413212,129.251207223978
"magnet_arm_z",26.1785356129915,108.018206018901
"roll_dumbbell",29.2793670547122,243.254797510432
"pitch_dumbbell",19.0920153834435,112.331031756405
"yaw_dumbbell",29.0334227244654,153.089213289524
"total_accel_dumbbell",27.1194787551473,157.641473877677
"gyros_dumbbell_x",32.1874732930481,79.8696984446191
"gyros_dumbbell_y",26.5214713683153,147.370024636077
"gyros_dumbbell_z",35.7278289847558,51.3700775531815
"accel_dumbbell_x",21.7273812660938,154.238664179466
"accel_dumbbell_y",35.7083523795705,256.090462512604
"accel_dumbbell_z",33.1349212900441,199.821244554743
"magnet_dumbbell_x",27.9707319254583,292.310866270731
"magnet_dumbbell_y",43.1880746400876,413.178283193261
"magnet_dumbbell_z",49.1598987596975,454.614553482941
"roll_forearm",30.205929403213,360.278547349457
"pitch_forearm",40.2894121429425,482.449757058872
"yaw_forearm",28.5993870151279,99.8556449548072
"total_accel_forearm",23.7145058302404,62.06538106422
"gyros_forearm_x",23.8069101567538,48.9113698101921
"gyros_forearm_y",32.929481683787,75.4376057002671
"gyros_forearm_z",31.809438732722,51.9893480803534
"accel_forearm_x",26.8037382464235,196.638201882887
"accel_forearm_y",27.5900092813025,88.9532735933309
"accel_forearm_z",28.4052809690316,144.24442215832
"magnet_forearm_x",20.6697848898967,133.214038710473
"magnet_forearm_y",26.8696833348057,129.764796149652
"magnet_forearm_z",33.7460526700963,177.122469554243
